doc_id,query_id,label
doc_0,1,1
doc_1,1,1
doc_2,1,0
doc_3,1,0
doc_4,1,0
doc_5,1,1
doc_6,1,1
doc_7,1,0
doc_8,1,1
doc_9,1,1
doc_10,1,0
doc_11,1,1
doc_12,1,1
doc_13,1,1
doc_14,1,1
doc_15,1,1
doc_16,1,1
doc_17,1,1
doc_18,1,1
doc_19,1,1
doc_20,1,1
doc_21,1,1
doc_22,1,1
doc_23,1,1
doc_24,1,1
doc_25,1,0
doc_26,1,0
doc_27,1,1
doc_28,1,1
doc_29,1,1
doc_30,1,1
doc_31,1,1
doc_32,1,1
doc_33,1,1
doc_34,1,1
doc_35,1,1
doc_36,1,1
doc_37,1,1
doc_38,1,1
doc_39,1,1
doc_40,1,1
doc_41,1,1
doc_42,1,1
doc_43,1,1
doc_44,1,1
doc_45,1,1
doc_46,1,1
doc_47,1,1
doc_48,1,1
doc_49,1,1
doc_50,1,1
doc_51,1,0
doc_52,1,1
doc_53,1,1
doc_54,1,1
doc_55,1,1
doc_56,1,1
doc_57,1,1
doc_58,1,1
doc_59,1,1
doc_60,1,1
doc_61,1,1
doc_62,1,1
doc_63,1,0
doc_64,1,1
doc_65,1,1
doc_66,1,1
doc_67,1,1
doc_68,1,1
doc_69,1,1
doc_70,1,1
doc_71,1,1
doc_72,1,1
doc_73,1,1
doc_74,1,1
doc_75,1,1
doc_76,1,1
doc_77,1,1
doc_78,1,1
doc_79,1,1
doc_80,1,1
doc_81,1,1
doc_82,1,1
doc_83,1,1
doc_84,1,1
doc_85,1,1
doc_86,1,1
doc_87,1,1
doc_88,1,1
doc_89,1,1
doc_90,1,1
doc_91,1,1
doc_92,1,1
doc_93,1,1
doc_94,1,1
doc_95,1,1
doc_96,1,0
doc_97,1,1
doc_98,1,1
doc_99,1,1
doc_0,2,1
doc_1,2,1
doc_2,2,0
doc_3,2,0
doc_4,2,0
doc_5,2,0
doc_6,2,0
doc_7,2,0
doc_8,2,0
doc_9,2,0
doc_10,2,0
doc_11,2,0
doc_12,2,0
doc_13,2,0
doc_14,2,0
doc_15,2,0
doc_16,2,0
doc_17,2,0
doc_18,2,0
doc_19,2,0
doc_20,2,0
doc_21,2,0
doc_22,2,0
doc_23,2,0
doc_24,2,0
doc_25,2,0
doc_26,2,0
doc_27,2,0
doc_28,2,0
doc_29,2,0
doc_30,2,0
doc_31,2,0
doc_32,2,0
doc_33,2,0
doc_34,2,0
doc_35,2,0
doc_36,2,0
doc_37,2,1
doc_38,2,0
doc_39,2,0
doc_40,2,0
doc_41,2,0
doc_42,2,0
doc_43,2,0
doc_44,2,0
doc_45,2,0
doc_46,2,0
doc_47,2,0
doc_48,2,0
doc_49,2,0
doc_50,2,0
doc_51,2,0
doc_52,2,0
doc_53,2,0
doc_54,2,0
doc_55,2,0
doc_56,2,1
doc_57,2,0
doc_58,2,0
doc_59,2,0
doc_60,2,0
doc_61,2,0
doc_62,2,0
doc_63,2,0
doc_64,2,0
doc_65,2,0
doc_66,2,0
doc_67,2,0
doc_68,2,0
doc_69,2,0
doc_70,2,0
doc_71,2,0
doc_72,2,1
doc_73,2,0
doc_74,2,0
doc_75,2,0
doc_76,2,0
doc_77,2,0
doc_78,2,0
doc_79,2,0
doc_80,2,0
doc_81,2,0
doc_82,2,0
doc_83,2,0
doc_84,2,0
doc_85,2,0
doc_86,2,0
doc_87,2,1
doc_88,2,0
doc_89,2,0
doc_90,2,0
doc_91,2,0
doc_92,2,0
doc_93,2,0
doc_94,2,0
doc_95,2,0
doc_96,2,0
doc_97,2,0
doc_98,2,0
doc_99,2,0
doc_0,3,0
doc_1,3,0
doc_2,3,0
doc_3,3,0
doc_4,3,0
doc_5,3,0
doc_6,3,0
doc_7,3,0
doc_8,3,1
doc_9,3,0
doc_10,3,0
doc_11,3,0
doc_12,3,0
doc_13,3,0
doc_14,3,0
doc_15,3,0
doc_16,3,0
doc_17,3,0
doc_18,3,0
doc_19,3,0
doc_20,3,0
doc_21,3,0
doc_22,3,0
doc_23,3,0
doc_24,3,0
doc_25,3,0
doc_26,3,0
doc_27,3,0
doc_28,3,0
doc_29,3,0
doc_30,3,0
doc_31,3,0
doc_32,3,0
doc_33,3,0
doc_34,3,0
doc_35,3,0
doc_36,3,0
doc_37,3,0
doc_38,3,0
doc_39,3,0
doc_40,3,0
doc_41,3,0
doc_42,3,0
doc_43,3,0
doc_44,3,0
doc_45,3,0
doc_46,3,0
doc_47,3,0
doc_48,3,0
doc_49,3,0
doc_50,3,0
doc_51,3,0
doc_52,3,0
doc_53,3,0
doc_54,3,0
doc_55,3,0
doc_56,3,0
doc_57,3,0
doc_58,3,0
doc_59,3,0
doc_60,3,0
doc_61,3,0
doc_62,3,0
doc_63,3,0
doc_64,3,0
doc_65,3,0
doc_66,3,0
doc_67,3,0
doc_68,3,0
doc_69,3,0
doc_70,3,0
doc_71,3,0
doc_72,3,0
doc_73,3,0
doc_74,3,0
doc_75,3,0
doc_76,3,0
doc_77,3,0
doc_78,3,0
doc_79,3,0
doc_80,3,0
doc_81,3,0
doc_82,3,0
doc_83,3,0
doc_84,3,0
doc_85,3,1
doc_86,3,0
doc_87,3,0
doc_88,3,0
doc_89,3,0
doc_90,3,0
doc_91,3,0
doc_92,3,0
doc_93,3,0
doc_94,3,0
doc_95,3,0
doc_96,3,0
doc_97,3,0
doc_98,3,0
doc_99,3,0
doc_0,4,1
doc_1,4,0
doc_2,4,0
doc_3,4,0
doc_4,4,0
doc_5,4,0
doc_6,4,0
doc_7,4,0
doc_8,4,0
doc_9,4,0
doc_10,4,0
doc_11,4,0
doc_12,4,0
doc_13,4,0
doc_14,4,0
doc_15,4,0
doc_16,4,0
doc_17,4,1
doc_18,4,1
doc_19,4,1
doc_20,4,0
doc_21,4,0
doc_22,4,0
doc_23,4,0
doc_24,4,0
doc_25,4,0
doc_26,4,0
doc_27,4,0
doc_28,4,0
doc_29,4,0
doc_30,4,0
doc_31,4,0
doc_32,4,0
doc_33,4,0
doc_34,4,0
doc_35,4,0
doc_36,4,0
doc_37,4,0
doc_38,4,0
doc_39,4,0
doc_40,4,0
doc_41,4,0
doc_42,4,0
doc_43,4,0
doc_44,4,0
doc_45,4,0
doc_46,4,0
doc_47,4,0
doc_48,4,0
doc_49,4,0
doc_50,4,0
doc_51,4,0
doc_52,4,0
doc_53,4,0
doc_54,4,0
doc_55,4,0
doc_56,4,0
doc_57,4,0
doc_58,4,0
doc_59,4,0
doc_60,4,0
doc_61,4,0
doc_62,4,0
doc_63,4,0
doc_64,4,0
doc_65,4,0
doc_66,4,0
doc_67,4,0
doc_68,4,0
doc_69,4,0
doc_70,4,0
doc_71,4,0
doc_72,4,0
doc_73,4,0
doc_74,4,0
doc_75,4,0
doc_76,4,0
doc_77,4,0
doc_78,4,0
doc_79,4,0
doc_80,4,0
doc_81,4,0
doc_82,4,0
doc_83,4,0
doc_84,4,0
doc_85,4,0
doc_86,4,0
doc_87,4,1
doc_88,4,0
doc_89,4,0
doc_90,4,0
doc_91,4,0
doc_92,4,0
doc_93,4,0
doc_94,4,0
doc_95,4,0
doc_96,4,0
doc_97,4,0
doc_98,4,0
doc_99,4,0
doc_0,5,0
doc_1,5,0
doc_2,5,0
doc_3,5,0
doc_4,5,0
doc_5,5,0
doc_6,5,0
doc_7,5,0
doc_8,5,0
doc_9,5,0
doc_10,5,0
doc_11,5,0
doc_12,5,0
doc_13,5,0
doc_14,5,0
doc_15,5,0
doc_16,5,0
doc_17,5,0
doc_18,5,0
doc_19,5,0
doc_20,5,0
doc_21,5,0
doc_22,5,0
doc_23,5,0
doc_24,5,0
doc_25,5,0
doc_26,5,0
doc_27,5,0
doc_28,5,0
doc_29,5,0
doc_30,5,0
doc_31,5,0
doc_32,5,0
doc_33,5,0
doc_34,5,0
doc_35,5,0
doc_36,5,0
doc_37,5,0
doc_38,5,0
doc_39,5,0
doc_40,5,0
doc_41,5,0
doc_42,5,0
doc_43,5,0
doc_44,5,0
doc_45,5,0
doc_46,5,0
doc_47,5,0
doc_48,5,0
doc_49,5,1
doc_50,5,0
doc_51,5,0
doc_52,5,0
doc_53,5,0
doc_54,5,0
doc_55,5,0
doc_56,5,0
doc_57,5,0
doc_58,5,0
doc_59,5,0
doc_60,5,0
doc_61,5,0
doc_62,5,0
doc_63,5,0
doc_64,5,0
doc_65,5,0
doc_66,5,0
doc_67,5,0
doc_68,5,0
doc_69,5,0
doc_70,5,0
doc_71,5,0
doc_72,5,0
doc_73,5,0
doc_74,5,0
doc_75,5,0
doc_76,5,0
doc_77,5,0
doc_78,5,0
doc_79,5,0
doc_80,5,0
doc_81,5,0
doc_82,5,0
doc_83,5,0
doc_84,5,0
doc_85,5,0
doc_86,5,0
doc_87,5,0
doc_88,5,0
doc_89,5,0
doc_90,5,0
doc_91,5,0
doc_92,5,0
doc_93,5,0
doc_94,5,0
doc_95,5,0
doc_96,5,0
doc_97,5,0
doc_98,5,0
doc_99,5,0
